full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
frankbria/ralph-claude-code,8338,8338,607,9,9,0,https://github.com/frankbria/ralph-claude-code
beita6969/claude-code,224,224,519,8,8,9,https://github.com/beita6969/claude-code
hangsman/claude-code-source,614,614,1503,18,18,28,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,7039,7039,489,9,9,0,https://github.com/ykdojo/claude-code-tips
yasasbanukaofficial/claude-code,215,215,462,215,215,462,https://github.com/yasasbanukaofficial/claude-code
ChrisWiles/claude-code-showcase,5669,5669,502,4,4,1,https://github.com/ChrisWiles/claude-code-showcase
pedrohcgs/claude-code-my-workflow,824,824,1571,2,2,2,https://github.com/pedrohcgs/claude-code-my-workflow
OneRedOak/claude-code-workflows,3762,3762,552,0,0,-1,https://github.com/OneRedOak/claude-code-workflows
LING71671/Open-ClaudeCode,207,207,282,3,3,1,https://github.com/LING71671/Open-ClaudeCode
sickn33/antigravity-awesome-skills,29819,29819,4978,50,50,12,https://github.com/sickn33/antigravity-awesome-skills
1rgs/claude-code-proxy,3345,3345,444,1,1,-1,https://github.com/1rgs/claude-code-proxy
qwibitai/nanoclaw,26191,26191,10131,22,22,36,https://github.com/qwibitai/nanoclaw
777genius/claude-code-source-code,797,797,1091,26,26,13,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3455,3455,587,1,1,0,https://github.com/disler/claude-code-hooks-mastery
anthropics/skills,108418,108418,12085,88,88,22,https://github.com/anthropics/skills
zebbern/claude-code-guide,3783,3783,354,3,3,0,https://github.com/zebbern/claude-code-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,7276,7276,356,6,6,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
kodu-ai/claude-coder,5282,5282,198,1,1,0,https://github.com/kodu-ai/claude-coder
huangserva/claude-code-cli,352,352,879,10,10,19,https://github.com/huangserva/claude-code-cli
Yuyz0112/claude-code-reverse,2323,2323,391,2,2,0,https://github.com/Yuyz0112/claude-code-reverse
VineeTagarwaL-code/claude-code,235,235,235,7,7,8,https://github.com/VineeTagarwaL-code/claude-code
leaked-claude-code/leaked-claude-code,462,462,690,33,33,49,https://github.com/leaked-claude-code/leaked-claude-code
fuergaosi233/claude-code-proxy,2310,2310,324,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,4109,4109,353,4,4,3,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2317,2317,308,11,11,3,https://github.com/RichardAtCT/claude-code-telegram
FlorianBruniaux/claude-code-ultimate-guide,2704,2704,387,14,14,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
zstmfhy/Claude-code,152,152,245,4,4,4,https://github.com/zstmfhy/Claude-code
alex000kim/claude-code,149,149,233,13,13,13,https://github.com/alex000kim/claude-code
Cranot/claude-code-guide,2552,2552,276,1,1,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,759,759,597,1,1,2,https://github.com/anthropics/claude-code-base-action
chauncygu/collection-claude-code-source-code,669,669,937,122,122,122,https://github.com/chauncygu/collection-claude-code-source-code
ding113/claude-code-hub,2251,2251,257,0,0,0,https://github.com/ding113/claude-code-hub
xorespesp/claude-code,152,152,214,9,9,19,https://github.com/xorespesp/claude-code
freestylefly/claude-code,105,105,250,0,0,3,https://github.com/freestylefly/claude-code
https-deeplearning-ai/sc-claude-code-files,470,470,641,0,0,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
obra/superpowers,130212,130212,10726,227,227,27,https://github.com/obra/superpowers
router-for-me/CLIProxyAPI,22028,22028,3631,23,23,3,https://github.com/router-for-me/CLIProxyAPI
liuup/claude-code-analysis,435,435,448,8,8,12,https://github.com/liuup/claude-code-analysis
snarktank/ralph,14208,14208,1445,10,10,-1,https://github.com/snarktank/ralph
edmund-io/edmunds-claude-code,1378,1378,282,1,1,0,https://github.com/edmund-io/edmunds-claude-code
eyaltoledano/claude-task-master,26347,26347,2470,3,3,1,https://github.com/eyaltoledano/claude-task-master
wshobson/agents,32756,32756,3572,16,16,1,https://github.com/wshobson/agents
Pimzino/claude-code-spec-workflow,3601,3601,253,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
wanshuiyin/Auto-claude-code-research-in-sleep,5162,5162,427,15,15,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
lintsinghua/claude-code-book,952,952,300,20,20,3,https://github.com/lintsinghua/claude-code-book
anthropics/claude-plugins-official,15699,15699,1732,18,18,7,https://github.com/anthropics/claude-plugins-official
zhukunpenglinyutong/idea-claude-code-gui,2299,2299,267,1,1,0,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
Kuberwastaken/claurst,6529,6529,6795,401,401,191,https://github.com/Kuberwastaken/claurst
AprilNEA/claude-code-source,270,270,492,19,19,38,https://github.com/AprilNEA/claude-code-source
ghuntley/claude-code-source-code-deobfuscation,953,953,551,2,2,1,https://github.com/ghuntley/claude-code-source-code-deobfuscation
bfly123/claude_code_bridge,2021,2021,186,1,1,0,https://github.com/bfly123/claude_code_bridge
lowcortisolprogrammer/claude-code,161,161,154,4,4,5,https://github.com/lowcortisolprogrammer/claude-code
siteboon/claudecodeui,9290,9290,1207,5,5,1,https://github.com/siteboon/claudecodeui
feiskyer/claude-code-settings,1399,1399,210,1,1,0,https://github.com/feiskyer/claude-code-settings
carlvellotti/claude-code-pm-course,1718,1718,264,2,2,-1,https://github.com/carlvellotti/claude-code-pm-course
Alishahryar1/free-claude-code,1364,1364,202,13,13,11,https://github.com/Alishahryar1/free-claude-code
fazxes/Claude-code,153,153,151,7,7,12,https://github.com/fazxes/Claude-code
sugyan/claude-code-webui,989,989,227,0,0,0,https://github.com/sugyan/claude-code-webui
Yeachan-Heo/oh-my-claudecode,20861,20861,1732,303,303,62,https://github.com/Yeachan-Heo/oh-my-claudecode
centminmod/my-claude-code-setup,2143,2143,213,1,1,0,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1511,1511,240,0,0,0,https://github.com/lst97/claude-code-sub-agents
alirezarezvani/claude-skills,8648,8648,1049,60,60,7,https://github.com/alirezarezvani/claude-skills
guanshan/ClaudeCode,38,38,171,0,0,0,https://github.com/guanshan/ClaudeCode
mehmoodosman/claude-code,96,96,159,3,3,5,https://github.com/mehmoodosman/claude-code
Windy3f3f3f3f/how-claude-code-works,863,863,315,25,25,10,https://github.com/Windy3f3f3f3f/how-claude-code-works
slopus/happy,16935,16935,1354,12,12,0,https://github.com/slopus/happy
Hyper66666/claude-code-sourcemap,178,178,426,2,2,1,https://github.com/Hyper66666/claude-code-sourcemap
darcyegb/ClaudeCodeAgents,639,639,56,2,2,0,https://github.com/darcyegb/ClaudeCodeAgents
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2710,2710,481,15,15,3,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
rohitg00/awesome-claude-code-toolkit,997,997,263,6,6,2,https://github.com/rohitg00/awesome-claude-code-toolkit
farion1231/cc-switch,37062,37062,2230,21,21,4,https://github.com/farion1231/cc-switch
nishimoto265/Claude-Code-Communication,495,495,236,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
chiragjoshi12/claude-code,96,96,139,96,96,139,https://github.com/chiragjoshi12/claude-code
catlog22/Claude-Code-Workflow,1658,1658,139,0,0,0,https://github.com/catlog22/Claude-Code-Workflow
simonw/claude-code-transcripts,1374,1374,144,0,0,0,https://github.com/simonw/claude-code-transcripts
trailofbits/claude-code-config,1741,1741,132,1,1,0,https://github.com/trailofbits/claude-code-config
steipete/claude-code-mcp,1212,1212,151,0,0,2,https://github.com/steipete/claude-code-mcp
